No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
EMP002724,"Ecoauto Servicios Integrales, S.L.",ECOAUTO,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,1,1,0,,786.50
EMP000418,"Editorial Aranzadi, S.A.","EDITORIAL ARANZADI, S.A.",Edición de libros,5811,7,1,6,,64932.16
EMP002356,"EDS Ingeniería y Montajes, S.A.","EDS INGENIERÍA Y MONTAJES, S.A.",Instalaciones eléctricas,4321,1,0,1,,1592.92
EMP003131,"Eduardo Albéniz, S.A.","EDUARDO ALBÉNIZ, S.A.",Otras actividades de impresión y artes gráficas,1812,1,0,1,,4631.97
EMP003975,"Eggnovo, S.L.","EGGNOVO, S.L.",Actividades de descontaminación y otros servicios de gestión de residuos,3900,2,1,1,,393.25
EMP000424,"Eisenor, S.A.","EISENOR, S.A.",Producción de perfiles en frío por conformación con plegado,2433,1,1,0,,393.25
EMP004814,"Ekinbe, S.L.","EKINBE, S.L.",Actividades de programación informática,163,2,2,0,,3629.84
EMP004680,"Ekiser Grupo Empresarial, S.L.","EKISER GRUPO EMPRESARIAL, S.L.",Gestión y administración de la propiedad inmobiliaria,6832,1,0,1,,9194.86
EMP004475,"El Dromedario Records, S.L.U.","EL DROMEDARIO RECORDS, S.L.U.",Servicios de representación de medios de comunicación,7312,,0,0,1,
EMP002047,"Elecnor, S.A.","ELECNOR, S.A.",Construcción de redes eléctricas y de telecomunicaciones,4222,1,0,1,,393.25
EMP002436,"Electricidad Montargi, S.L.","ELECTRICIDAD MONTARGI, S.L.",Instalaciones eléctricas,4321,,0,0,1,
EMP003115,"Electrónica Falcón, S.A.","ELECTRÓNICA FALCÓN, S.A.",Fabricación de componentes electrónicos,2611,1,0,1,,1718.97
EMP002839,"Elkarkide, S.L.","ELKARKIDE, S.L.",Otros servicios relacionados con las tecnologías de la información y la informática,6209,2,2,0,,2820.00
EMP000441,"Embega, S.Coop.","EMBEGA, S.COOP.",Fabricación de otros productos metálicos n.c.o.p.,2599,3,2,1,,9239.23
